Product,Model Variant,Category,Frame,Fork / Suspension,Brakes,Rims & Wheels,Tyres,Gears,Paint / Notes,MSRP (INR),Warranty,Service Plan,Finance Options
Shark,Grey,ATB,High tensile steel frame,,,Double walled rim with 24-inch wheels,,,Simple cycle for urban commute; frame and wheel designed for tarmac road; dual color water decal paint,5500,2-year frame warranty,2 complimentary services within first 6 months,EMI facility available on major credit cards
Great White Shark,Standard,ATB,High tensile steel frame,,,Double walled rim with 26-inch wheels,Broad tyre (26x2.25) metro tyre for better grip,,Frame and wheels designed for tarmac roads; dual color water decal paint,5800,2-year frame warranty,2 complimentary services within first 6 months,EMI facility available on major credit cards
Shark,Mustard,MTB,High tensile steel frame,Front suspension,Disc brakes,Double walled rim with 26-inch wheels,Broad tyre (26x2.40) for better grip,,Dual color water decal paint,7200,2-year frame warranty,2 complimentary services within first 6 months,EMI facility available on major credit cards
Shark,Mustard Green,MTB,High tensile steel frame,Front suspension,Disc brakes,Double walled rim with 27.5-inch wheels,Broad tyre (27.5x2.25) for better grip,,Dual color water decal paint,8200,2-year frame warranty,2 complimentary services within first 6 months,EMI facility available on major credit cards
Marlin,Yellow,Road Racer,High tensile steel frame,Front suspension,Disc brakes,Double walled rim with 700C wheels,Sleek tyre (700x35C) for smooth ride,,Dual color water decal paint,9000,2-year frame warranty,2 complimentary services within first 6 months,EMI facility available on major credit cards
Shark,Blue,MTB,High tensile steel frame,Front suspension,Disc brakes,Double walled rim with 26-inch wheels,Broad tyre (26x2.40) for better grip,Easy fire gear shifter with 21 gear combination (3 front x 7 back),Dual color water decal paint,9200,2-year frame warranty,2 complimentary services within first 6 months,EMI facility available on major credit cards
Shark,Sea Green,MTB,High tensile steel frame,Front suspension,Disc brakes,Double walled rim with 27.5-inch wheels,Broad tyre (27.5x2.40) for better grip,Easy fire gear shifter with 21 gear combination (3 front x 7 back),Dual color water decal paint,9600,2-year frame warranty,2 complimentary services within first 6 months,EMI facility available on major credit cards
Marlin,Red,Road Racer,High tensile steel frame,Rigid fork,Disc brakes,Double walled rim with 700C wheels,Sleek tyre (700x35C) for smooth ride,Easy fire gear shifter with 21 gear combination (3 front x 7 back),Dual color water decal paint,10000,2-year frame warranty,2 complimentary services within first 6 months,EMI facility available on major credit cards
